subject,grade_level,cycle,strand_num,ilo_code,description
Belizean History,Infant 1,3,1,BS 1.1,"Record and express personal information such as age, height, gender, date of birth, house address, ethnicity and language spoken in the house."
Belizean History,Infant 1,3,2,BS 2.1,Generate a list and discuss the importance of rules that govern the home.
Belizean History,Infant 1,3,2,BS 2.2,Role play and justify a variety of roles and responsibilities of family members.
Belizean History,Infant 1,3,2,BS 2.3,Research and consider the impact on family members when family rules are broken.
Belizean History,Infant 2,3,1,BS 1.2,"Investigate and document the cultural aspects, such as food, music & dance, clothing, belief system, and traditional practices, of the different ethnic groups in Belize."
Belizean History,Standard 1,3,1,BS 1.4,Research and organize a culture day to account for cultural diversity in
Belizean History,Standard 1,3,1,BS 1.5,Discuss and design an infomercial promoting respect and appreciation for Belize’s cultural diversity.
Belizean History,Standard 1,3,1,BS 1.6,0bserve and highlight the traditional and modern cultural
Belizean History,Standard 2,3,1,BS 1.7,Investigate and locate on a map of the world the places from which the various ethnic groups originated or had settled before coming to Belize.
Belizean History,Standard 2,3,1,BS 1.8,"Research and create an annotated timeline to describe the emergence or first major arrival of the Central Americans and the modern Q'eqchi, Mopan and Yucatec ethnic groups."
Belizean History,Standard 3,3,1,BS 1.9,Investigate and trace the voyage taken by different groups to come into
Belizean History,Standard 3,3,1,BS 1.10,Hypothesize and report the factors that led to the migration and settlement of groups in Belize. African and Maya History
Belizean History,Standard 3,3,3,BS 3.11,Design and annotate a Mundo Maya map highlighting the location of the major settlements of the Maya in the region and Belize.
Belizean History,Standard 3,3,3,BS 3.12,"Conduct research and design a chart comparing the similarities and differences in food, clothing, music, dance, games and technology between the Maya and another ethnic group."
Belizean History,Standard 3,3,3,BS 3.13,Describe and illustrate some of the structures typically found in ancient
Belizean History,Standard 4,3,1,BS 1.11,"Investigate and design an annotated timeline detailing major events that have shaped our identity as a nation such as the Mayan Civilization, slavery, colonialism, Caste War, Anglo Guatemala Dispute, the arrival of the Garinagu and independence."
Belizean History,Standard 4,3,1,BS 1.12,"Examine and reframe the impact of major events that have contributed to the development of Belize’s Identity such as the Mayan Civilization, slavery, colonialism, Caste War, Anglo Guatemala Dispute, the arrival of the Garinagu and independence."
Belizean History,Standard 4,3,1,BS 1.13,Investigate and create a visual representation of key individuals and their contribution to the formation of Belize as a nation.
Belizean History,Standard 5,3,1,BS 1.14,Discuss and trace the development of democratic processes in Belize from the public meetings to the present day.
Belizean History,Standard 5,3,1,BS 1.15,"Investigate and outline the causes, personalities and main events of the protest movements of the 1900s such as the Ex-servicemen revolt and the 1930’s labour movement."
Belizean History,Standard 5,3,1,BS 1.16,Design and analyse a timeline of major events leading up to Belize's Independence in 1981. African and Maya History
Belizean History,Standard 5,3,3,BS 3.16,Investigate and decide what it means to be enslaved and why enslaved people were in Belize in the 1700s and early 1800s.
Belizean History,Standard 5,3,3,BS 3.17,"Examine and summarize some features of the lives led by enslaved people in Belize, including their place of origin, occupation, treatment, living conditions, and acts of resistance."
Belizean History,Standard 5,3,3,BS 3.18,Explore and articulate the influence of chattel slavery on
Belizean History,Standard 6,3,1,BS 1.17,"Create a visual representation of what gives Belize its identity such as national symbols, people, landmarks, heritage, archaeological sites, etc."
Belizean History,Standard 6,3,1,BS 1.18,Defend Belize’s geographical position as both a Central American and Caribbean country.
Belizean History,Standard 6,3,1,BS 1.19,Design a campaign and propose actions by individuals and organizations encouraging patriotism in the preservation and protection of Belize’s national identity. African and Maya History
Belizean History,Standard 6,3,3,BS 3.19,Investigate and account for the existence of chattel slavery in Belize.
Belizean History,Standard 6,3,3,BS 3.20,Examine the methods used by enslaved peoples in Belize to resist enslavement and improve their working and living conditions.
Belizean History,Standard 6,3,3,BS 3.21,Describe the major events in any particular resistance movement
