subject,grade_level,cycle,strand_num,ilo_code,description
Expressive Arts,Infant 1,3,1,EA 1.1,"Move freely in time to music, changing direction, speed and level."
Expressive Arts,Infant 1,3,2,EA 2.1,Sing and dramatize a short nursery rhyme using gestures and movement as appropriate.
Expressive Arts,Infant 1,3,3,EA 3.1,"Draw and colour lines, arcs and shapes using a variety of art mediums such as coloured pencils or markers."
Expressive Arts,Infant 2,3,1,EA 1.5,Coordinate dance steps and moves with a partner.
Expressive Arts,Infant 2,3,2,EA 2.5,"Sing short repetitive or rhyming (echoes) traditional songs, adding gestures and movement as appropriate."
Expressive Arts,Standard 1,3,1,EA 1.9,Coordinate dance steps and moves in small groups by counts.
Expressive Arts,Standard 1,3,2,EA 2.9,Recite and perform patriotic songs and the Belizean National Anthem in English and accompanied by a traditional musical instrument.
Expressive Arts,Standard 1,3,3,EA 3.9,Illustrate a story in two or more sketches.
Expressive Arts,Standard 1,3,4,EA 4.8,"Decorate a bottle, cup, plate or similar household object using a variety of lines and shapes."
Expressive Arts,Standard 2,3,1,EA 1.13,Act out a traditional story using speech and gestures.
Expressive Arts,Standard 3,3,1,EA 1.17,"Act in a short skit demonstrating proper stage management, gestures, intonation etc."
Expressive Arts,Standard 3,3,1,EA 1.18,Role-play a scene showing conflict resolution.
Expressive Arts,Standard 3,3,2,EA 2.16,Explain and demonstrate the difference between beat and rhythm.
Expressive Arts,Standard 4,3,1,EA 1.22,"Enact a short monologue, play or skit based on a short comedial script, poem, story or play."
Expressive Arts,Standard 4,3,2,EA 2.20,Compare and perform pieces of music associated with various countries in this region.
Expressive Arts,Standard 5,3,1,EA 1.26,Compose and dramatize a short piece of monologue or dialogue script based on an original story idea.
Expressive Arts,Standard 5,3,2,EA 2.24,Investigate and present on the life and achievements of a popular Belizean musician.
Expressive Arts,Standard 6,3,1,EA 1.30,"Design and create costumes, props or masks for use in a short play or performance of an original idea."
Expressive Arts,Standard 6,3,1,EA 1.31,Create an original dance for one or two people.
Expressive Arts,Standard 6,3,2,EA 2.28,"Select and perform a piece of music from Belize, by singing or playing an instrument."
