subject,grade_level,cycle,strand_num,ilo_code,description
Language Arts,Infant 1,2,1,LA 1.01,"Demonstrate understanding of the organization and basic features of print: - Recognize that words on a page progress from left to right, top to bottom and page by page. - Identify the front cover, back cover, and title page of a book."
Language Arts,Infant 1,2,1,LA 1.02,"Demonstrate, identify and distinguish basic knowledge of one-to- one letter-sound and formation of letters /s/, /a/ (short a), /t/, /p/, /i/ (short i) and /n/."
Language Arts,Infant 1,2,1,LA 1.03,"Demonstrate, identify, and distinguish basic knowledge of one-to- one letter-sound and formation of letters /r/, /e/ (short e), /b/, /c/ (hard c), /m/, /d/, /h/ & /o/ (short o)."
Language Arts,Infant 1,2,1,LA 1.04,Identify and independently categorize spoken words and pictures that begin with given letter sounds.
Language Arts,Infant 1,3,2,LA 2.01,"Analyze information and appropriately answer questions about a story, poem, nursery rhyme or non- fiction text read by the teacher using prompts such as (who, when, what, why, where, and how). *Ongoing through all cycles"
Language Arts,Infant 1,3,2,LA 2.02,"Identify and relate to real life scenarios characters' emotions such as happy, sad, mad, scared, surprised, in stories. *Ongoing through all cycles"
Language Arts,Infant 1,4,3,LA 3.01,"Create illustrations to accompany a text and confidently explain through speech, written captions using letters, or short words. (or invented spelling) *Ongoing through all cycles"
Language Arts,Infant 1,4,3,LA 3.02,Contribute meaningfully to class discussion and justify whether an event is real or fictional. *Ongoing through all cycles
Language Arts,Infant 2,2,1,LA 1.05,Print and identify all upper- and lower-case letters.
Language Arts,Infant 2,2,1,LA 1.06,Segment spoken CVC words into their complete sequence of individual sounds (phonemes).
Language Arts,Infant 2,3,2,LA 2.03,"Analyze and arrange in sequential order the main events of a story, nursery rhyme, poem or non- fiction text using pictures."
Language Arts,Infant 2,3,2,LA 2.04,Use illustrations and details to identify and describe main
Language Arts,Infant 2,4,3,LA 3.03,Illustrate a story using a sequence of pictures to retell a story.
Language Arts,Infant 2,4,3,LA 3.04,Create and illustrate a story with a picture and write a caption using real or invented spelling.
Language Arts,Standard 1,2,1,LA 1.09,Recognize and apply final -e and common vowel team conventions for representing long vowel sounds.
Language Arts,Standard 1,2,1,LA 1.10,Read on sight approximately 150-200 high frequency words including many that are not phonetically spelt. *Ongoing for all cycles
Language Arts,Standard 1,2,1,LA 1.11,Fluently read and write sentences using all learned spelling patterns. *Ongoing for all cycles
Language Arts,Standard 1,3,2,LA 2.05,Read texts with sufficient accuracy and fluency to support comprehension. *Ongoing for all cycles
Language Arts,Standard 1,3,2,LA 2.06,Perform and outline at least three consecutive actions after reading and following instructions.
Language Arts,Standard 1,3,2,LA 2.07,Determine the sequence of events and main idea of a story and explain the main idea orally and written.
Language Arts,Standard 1,4,3,LA 3.06,"Orally describes a real-life person, object, event, place, experience, or interest."
Language Arts,Standard 1,4,3,LA 3.07,Create and write short texts based on various prompts.
Language Arts,Standard 1,4,3,LA 3.08,"Read and use voice to indicate question marks, full stops, and exclamation marks. *Ongoing for all cycles"
Language Arts,Standard 2,2,1,LA 1.12,"Build and combine words with a variety of long and short vowel sounds, including multisyllabic words."
Language Arts,Standard 2,3,2,LA 2.08,"Discuss and examine the meaning of a story by referring to the main events, characters and places portrayed."
Language Arts,Standard 2,4,3,LA 3.09,"Create and explain a simple, chronological report of an event."
Language Arts,Standard 3,2,1,LA 1.14,"Analyze and categorize words or word families that have the same vowel sound/spelling patterns. Words (vowel teams): (leave/bead/team, roam/coal) Word Families (word endings): (head/lead/dead, good/wood/hood, dough/bough/though, cow/now/wow, could/ would/should)."
Language Arts,Standard 3,2,1,LA 1.15,Read on sight approximately three hundred high-frequency words including place names from around the world.
Language Arts,Standard 3,3,2,LA 2.10,Classify and create fact and opinion statements in original speech and writing.
