subject,grade_level,cycle,strand_num,ilo_code,description
Mathematics,Infant 1,1,1,MA 1.01,"Identify and count groups of objects through oral exercises such as playing games, singing songs, and saying rhymes, initially to 10 and then beyond, using the counting principles of stable order, one-to-one correspondence, and cardinality."
Mathematics,Infant 1,1,1,MA 1.02,"Arrange, match, and create groups of up to ten objects to written numerical symbols."
Mathematics,Infant 1,1,1,MA 1.03,"Count groups of objects, initially to 10 and then beyond, using the counting principles of abstraction and order irrelevance."
Mathematics,Infant 1,1,1,MA 1.04,Identify and state how many objects are in a group of up to 10 objects at a glance without having to count them one by one.
Mathematics,Infant 1,1,1,MA 1.05,"Identify an individual number, a sequence of numbers and the number before, after or between given numbers using a number line."
Mathematics,Infant 1,1,1,MA 1.06,Identify and recite numbers 1 to 30 in sequence with fluency and accuracy.
Mathematics,Infant 1,1,1,MA 1.07,"Compare numbers from 0 to 10 using the less than, greater than and equals signs."
Mathematics,Infant 1,1,1,MA 1.08,Identify and write the numeric symbols for numbers from 0 to 10.
Mathematics,Infant 1,1,1,MA 1.09,"Compose and decompose numbers from 1 - 10, grouping items into given numbers with no remainder."
Mathematics,Infant 1,1,1,MA 1.10,Identify the position of an item in a group using ordinal numbers from first to tenth.
Mathematics,Infant 1,2,6,MA 6.01,"Find and describe examples of points, lines, squares, circles, rectangles and triangles in the classroom, school and the wider environment."
Mathematics,Infant 1,2,6,MA 6.02,"Explore, classify and compare common shapes through play and use of manipulatives."
Mathematics,Infant 1,2,6,MA 6.03,"Identify and describe the properties of triangles, squares and rectangles in terms of number of sides and corners."
Mathematics,Infant 1,2,6,MA 6.04,"Construct and describe 2-D shapes using straws, sticks, clay, building blocks and other materials."
Mathematics,Infant 1,2,2,MA 2.01,"Identify and discuss examples of patterns in the classroom, school and wider environment."
Mathematics,Infant 1,2,2,MA 2.02,"Find and sort objects and shapes based on their color, size, number of sides and other attributes."
Mathematics,Infant 1,2,2,MA 2.03,"Create and describe patterns using objects, actions, shapes, colours, sounds, or numbers."
Mathematics,Infant 1,2,2,MA 2.04,"Group 10 or fewer objects into sets of 2’s, 3’s, 4’s, and 5’s without remainders"
Mathematics,Infant 1,2,2,MA 2.05,"Count objects, initially to 10 and then beyond by 1s and 2s, forwards and backwards."
Mathematics,Infant 1,2,7,MA 7.01,"Compare and discuss the length, height, mass, temperature and capacity of two objects using words such as longer, taller, shorter, lighter, heavier, colder, hotter, more full or emptier."
Mathematics,Infant 1,3,7,MA 7.05,List and arrange in sequence the days of the week and months of year using ordinal numbers.
Mathematics,Infant 1,3,7,MA 7.06,Identify and sequence the current dates and days of the month on a calendar or weather chart using ordinal numbers.
Mathematics,Infant 1,3,7,MA 7.07,"Tell, demonstrate and interpret time to the hour using an analogue clock."
Mathematics,Infant 1,3,3,MA 3.01,Add and subtract sets of up to ten objects including with the use of zero
Mathematics,Infant 1,3,3,MA 3.02,Explore and demonstrate strategies to add and subtract sets of up to ten objects with and without the use of concrete objects.
Mathematics,Infant 1,3,3,MA 3.03,"Solve problems involving the adding and subtracting up to 10 objects, using real-life situations."
Mathematics,Infant 1,3,5,MA 5.01,Explain and demonstrate how a whole object can be divided into parts of equal and different sizes.
Mathematics,Infant 1,3,5,MA 5.02,Describe and identify fractions in everyday situations by using language such as ‘1 out of 2’.
Mathematics,Infant 1,3,5,MA 5.03,"Compose and decompose a region, shape or set of objects using halves and quarters, showing that the fractional parts are equal."
Mathematics,Infant 1,3,5,MA 5.04,"Identify, compare and match halves and quarters and objects in parts with the symbols ½ and ¼ using real-life situations."
Mathematics,Infant 1,4,6,MA 6.05,"Identify and discuss planes in the classroom, school and wider environment."
Mathematics,Infant 1,4,6,MA 6.06,"Find, describe and compare examples of 3-D objects such as spheres, cubes, cylinders and cones in the classroom, school and the wider environment."
Mathematics,Infant 1,4,9,MA 9.01,"Gather and compile data from the environment through observation, counting, sorting and grouping of items such as objects and pictures."
Mathematics,Infant 1,4,9,MA 9.02,Organize and display data using concrete materials in tally charts and on pictorial representations.
Mathematics,Infant 1,4,9,MA 9.03,"Create, display and interpret information presented in pictographs using a variety of data sets."
Mathematics,Infant 2,1,1,MA 1.11,"Identify and count numbers up to 100 using a number and the five counting principles of stable order, one to one correspondence, order irrelevance, cardinality and abstraction."
Mathematics,Infant 2,1,1,MA 1.12,Identify and match number names with numeric symbols for numbers from 0-100 both orally and in writing.
Mathematics,Infant 2,1,1,MA 1.13,Apply the concept of zero to real- life situations.
Mathematics,Infant 2,1,1,MA 1.14,Identify the position and organize items in a group using ordinal numbers from first to one hundredth.
Mathematics,Infant 2,1,1,MA 1.15,Compose and decompose 2-digit numbers to form groups of tens and ones.
Mathematics,Infant 2,1,1,MA 1.16,Sequence a set of numbers between 0 and 100 in ascending or descending order using a number line.
Mathematics,Infant 2,1,1,MA 1.17,Identify the number that is ten more or ten less than a given number using a place value chart and apply it to real life situations.
Mathematics,Infant 2,1,1,MA 1.18,"Compare numbers from 0 to 100 using the less than, greater than and equal signs."
Mathematics,Infant 2,1,6,MA 6.07,"Differentiate between horizontal, vertical and diagonal lines and draw rays and angles."
Mathematics,Infant 2,1,6,MA 6.08,"Identify the similarities and differences between triangles, squares, rectangles and circles."
Mathematics,Infant 2,1,6,MA 6.09,Create by drawing or modelling and describe 2-D shapes with a specified number of sides using manipulatives.
Mathematics,Infant 2,2,2,MA 2.06,Identify and describe patterns in pictures and artistic designs.
Mathematics,Infant 2,2,2,MA 2.07,"Create and describe repeated patterns using actions, objects, colours, sounds, shapes, letters and numbers."
Mathematics,Infant 2,2,7,MA 7.08,Investigate and compare the perimeter and area of 2-D shapes using non-standard measures.
Mathematics,Infant 2,2,7,MA 7.09,"Measure and compare the length of lines, perimeter of shapes and real objects found in the environment using customary units of feet and inches."
Mathematics,Infant 2,2,7,MA 7.10,Investigate and discuss the volume of 3-D shapes using non-standard units of measurement.
Mathematics,Infant 2,2,7,MA 7.11,Measure and compare the volume of containers using the customary units of cups and pints and the mass of objects using customary units of pounds and ounces.
Mathematics,Infant 2,2,3,MA 3.04,Add a 1-digit number to a 2-digit number that ends in a zero and apply to real life situations.
Mathematics,Infant 2,2,3,MA 3.05,Subtract a 1-digit number from a 2-digit number without the need to borrow and apply to real life situations.
Mathematics,Infant 2,2,3,MA 3.06,Add a 1-digit number to any 2-digit number with the answer not exceeding 99 and without regrouping.
Mathematics,Infant 2,3,7,MA 7.12,"Identify and tell the time as half hour, quarter hour to or past the hour using an analogue clock."
Mathematics,Infant 2,3,7,MA 7.13,"Identify, explain and apply the terms a.m. and p.m. to time in real life situations."
Mathematics,Infant 2,3,3,MA 3.07,"Add a single or two 2-digit numbers together with the answer not exceeding 100, vertically and horizontally with or without the place value chart and complete number sentence with sums up to 100 using +,=."
Mathematics,Infant 2,3,3,MA 3.08,"Subtract a single or 2-digit number from a 2-digit number, vertically and horizontally, without the need to barrow, with or without the place value chart and complete number sentence with differences up to 100 using -,=."
Mathematics,Infant 2,3,3,MA 3.09,Explore and solve problems using the additive identity property.
Mathematics,Infant 2,3,5,MA 5.05,"Compose and decompose a region, shape or set of objects using halves, thirds, quarters and fifths."
Mathematics,Infant 2,3,5,MA 5.06,"Identify and match fractional parts with the symbols ½, 1/3, ¼ and ⅕."
Mathematics,Infant 2,4,4,MA 4.01,"Place and divide up to 50 objects or pictures into groups of 2’s, 3’s, 5’s and 10’s of equal size."
Mathematics,Infant 2,4,4,MA 4.02,Investigate that multiplication is the same as repeated addition.
Mathematics,Infant 2,4,4,MA 4.03,"Multiply two 1-digit numbers together using manipulatives arranged in groups, multiplication arrays and so on."
Mathematics,Infant 2,4,6,MA 6.10,"Identify, describe and compare 2-D shapes according to specific properties including length of sides and number of vertices through discussion and demonstrations to insert in a table."
Mathematics,Infant 2,4,6,MA 6.11,"Create and name models of 3-D shapes such as the cube, cuboid, sphere, cylinder, and cone or objects with specified properties, such as number of faces, edges and vertices through discussions and role-playing."
Mathematics,Infant 2,4,6,MA 6.12,Investigate and explain the similarities and differences between symmetrical shapes.
Mathematics,Infant 2,4,9,MA 9.04,"Collect and organize data from pictures, written sources and the environment through observation."
Mathematics,Infant 2,4,9,MA 9.05,Organize and display data using concrete materials in tally charts and column representations.
Mathematics,Infant 2,4,9,MA 9.06,Collect and Interpret information presented in simple column graphs using a variety of datasets.
Mathematics,Standard 1,1,1,MA 1.19,"Read, write and match numbers up to 1000 using numerical symbols and words and apply to real life situations."
Mathematics,Standard 1,1,1,MA 1.20,Identify and explain the value of each column in a place value chart as ten times more or less than the neighbouring column for numbers between 0 and 999.
Mathematics,Standard 1,1,1,MA 1.21,"Compare numbers up to 1000 using the symbols for equals (=), less than (<) and greater than (>) and apply to real life situations."
Mathematics,Standard 1,1,1,MA 1.22,"State, read and write numbers in expanded form, up to 1000."
Mathematics,Standard 1,1,2,MA 2.08,"Sequence and identify the next, or a missing non-consecutive number between 0 and 1000 in ascending and descending order, using a number line."
Mathematics,Standard 1,1,2,MA 2.09,"Create and describe increasing, decreasing, and alternating patterns using numbers, objects, actions, shapes, colours, or sounds."
Mathematics,Standard 1,1,2,MA 2.10,"Count forward and backward by 2's, 5's, 10's and 100's from any given starting number between 0 and 1000."
Mathematics,Standard 1,1,6,MA 6.11,"Create and describe horizontal, vertical, diagonal, intersecting, parallel and perpendicular lines."
Mathematics,Standard 1,1,6,MA 6.12,"Investigate and discuss how the perimeter of common shapes such as triangles, squares and rectangles are calculated."
Mathematics,Standard 1,1,6,MA 6.13,"Create compound shapes using manipulatives such as pattern blocks, sticks, straws, string or other materials."
Mathematics,Standard 1,1,6,MA 6.14,"Describe the features of 3-D shapes such as cones, cylinders, cubes, cuboids and pyramids."
Mathematics,Standard 1,2,3,MA 3.10,Add & subtract 2-digit numbers without regrouping using a range of mental and written strategies.
Mathematics,Standard 1,2,3,MA 3.11,Add and subtract 2-digit numbers with regrouping using manipulatives such as base ten blocks or Legos.
Mathematics,Standard 1,2,3,MA 3.12,Add three 2-digit numbers with and without regrouping in unit columns.
Mathematics,Standard 1,2,7,MA 7.14,"Estimate, measure, compare and record the length of lines, distances and the size of objects using the customary unit of inches, feet and yards."
Mathematics,Standard 1,2,7,MA 7.15,"Estimate, measure, compare and record the mass of various objects in the customary unit of pounds and ounces."
Mathematics,Standard 1,2,7,MA 7.16,"Estimate, measure compare and record the capacity of a container using the customary unit of cups, pints, quarts and gallons."
Mathematics,Standard 1,2,3,MA 3.13,Demonstrate and explain the relationship between addition and subtraction.
Mathematics,Standard 1,2,3,MA 3.14,Add & subtract two 3-digit numbers without regrouping using unit columns.
Mathematics,Standard 1,2,3,MA 3.15,Add & Subtract two 3-digits with regrouping using manipulatives such as base ten blocks.
Mathematics,Standard 1,3,7,MA 7.17,"Convert among units within the customary system of length, mass and capacity."
Mathematics,Standard 1,3,7,MA 7.18,Convert a length of time between minutes and seconds.
Mathematics,Standard 1,3,7,MA 7.19,"Identify, measure and record the temperature of the environment, in either degrees Celsius or Fahrenheit."
Mathematics,Standard 1,3,4,MA 4.04,"Explore the multiplicative identity of a number, that is if you multiply a number by 1, the product is that original number and solve problems using the multiplicative identity property."
Mathematics,Standard 1,3,4,MA 4.05,Represent and solve multiplication problems both horizontally and vertically
Mathematics,Standard 1,3,4,MA 4.06,Multiply a 2-digit number by a 1-digit number
Mathematics,Standard 1,3,4,MA 4.07,Round-off to the nearest ten to estimate when multiplying.
Mathematics,Standard 1,3,5,MA 5.07,"Describe and illustrate parts of a whole or of a set using fractions with numerators other than one such as ⅔, ¾, ⅖, ⅚, 4/10"
Mathematics,Standard 1,3,5,MA 5.08,"Compare and sequence fractions with like denominators with the aid of manipulatives such as pictures, number line, fraction strips."
Mathematics,Standard 1,3,5,MA 5.09,Add two or more proper fractions with like denominators.
Mathematics,Standard 1,3,5,MA 5.10,"Read and Convert fractions with tenths to decimals, for example 3/10 is the same as 0.3"
Mathematics,Standard 1,3,5,MA 5.11,"Read, add and subtract numbers with one decimal place."
Mathematics,Standard 1,4,4,MA 4.08,Investigate that division is the same as repeated subtraction.
Mathematics,Standard 1,4,4,MA 4.09,"Divide single and 2-digit numbers by 2, 3, 4, 5, 10, without remainders."
Mathematics,Standard 1,4,4,MA 4.10,Identify and explain the relationship between multiplication and division.
Mathematics,Standard 1,4,4,MA 4.11,Solve word problems with real life applications using multiplication and division.
Mathematics,Standard 1,4,9,MA 9.07,"Collect, analyse and represent data contained in a tally chart or frequency table in different forms like pictographs & bar graphs."
Mathematics,Standard 1,4,9,MA 9.08,"Identify and discuss situations that involve chance such as certain, impossible or equally likely events and investigate probability using tables and graphs."
Mathematics,Standard 2,1,1,MA 1.23,Identify and state the value of a digit based on its position in a number up to 6 digits.
Mathematics,Standard 2,1,1,MA 1.24,"Read, write and apply numbers up to 100,000 using numerical symbols and words to real life situations."
Mathematics,Standard 2,1,1,MA 1.25,"Sequence and compare a set of non-consecutive numbers in ascending and descending order up to 100,000 using the place value system."
Mathematics,Standard 2,1,1,MA 1.26,"State, read and write whole numbers up to 100,000 in expanded form."
Mathematics,Standard 2,1,1,MA 1.27,"Round whole numbers up to 100,000 to specific place values."
Mathematics,Standard 2,1,6,MA 6.15,Identify and draw 2-D shapes based on their attributes up to 10 sides.
Mathematics,Standard 2,1,6,MA 6.16,Identify and draw lines of symmetry in plane figures.
Mathematics,Standard 2,1,6,MA 6.17,"Draw circles of various sizes using a compass and identify the centre, radius, diameter and circumference of the circles."
